NPCI_TXN_TYPE,NPCI_STATUS,TXNID,RRN,NPCI_CODE,DATE,TIME,AMOUNT,A,B,C,D,PSP,E,PAYER_VPA,F,MCC,PAYEE_VPA,G,H,I,J,K,L,M,N
TX,U2,5dc6d98cca3f38c6d0ab2bbf,230117620760,0,73024,164536,36034,,1,1,0,SIB,0,Alison_Emard@yesg,IOB,4722,traveler.expedition@sbm,SMB,SBM6663547,1,34610214792,APP,INB6139673,2,92907966922
TX,U2,b51b632f7dea2adececf391e,810823614079,0,73024,162630,90257,,1,1,0,HDF,0,Lloyd33@okicici,IIB,5814,dinning.burger@sbm,SMB,SBM8217957,1,5163807058,FIB,HDF9224459,2,77501072858
TX,U2,d2e0ccfba9e2e323cfcacaf4,80033192963,Z7,73024,130410,35913,,1,1,0,KMB,0,Liliane_Swaniawski@icici,ARL,4722,traveler.wander@sbm,SMB,SBM0794031,1,35965221639,APP,KVB5015248,2,3843796358
TX,U2,9552b86780c0accefcb685ad,935264201507,RB,73024,120135,80461,,1,1,0,GTI,0,Theo22@paytm,KVB,4722,traveler.escape@sbm,SMB,SBM3453136,1,17045505594,IPB,IIB0431512,2,77029704436
TX,U2,b383de36be16f5937eac5b06,394407503863,Z9,73024,44737,70438,,1,1,0,UOB,0,Emmanuelle_Graham38@okicici,BOM,4814,telecom.data@sbm,SMB,SBM4289698,1,8325244419,YES,IDB3492955,2,89548331438
TX,U2,bf55bafd92d63c1baa20d7c4,284635303426,RB,73024,154825,5633,,1,1,0,INB,0,Onie.Orn@fkaxis,BDN,4814,telecom.satellite@sbm,SMB,SBM7945823,1,97949542125,YBS,BOM7259631,2,11031785241
TX,U2,18ac9e18b942659ec08fbab6,809666253079,0,73024,234716,38657,,1,1,0,BOM,0,Cornell32@okhdfcbank,IIB,5411,grocery.town@sbm,SMB,SBM4417605,1,66004034650,CBI,KVB7362211,2,8057774291
TX,U2,f0fd1e4bcea7ce7f8afbca0b,849771767041,Z7,73024,225021,26473,,1,1,0,INB,0,Jaeden.Bode@abfspay,KTP,5411,grocery.organic@sbm,SMB,SBM7855144,1,55684150192,CBI,KTP6040789,2,30774966521
TX,U2,b1c6cae709bad347ebd460c3,517163568684,0,73024,202143,73158,,1,1,0,HDF,0,Abbigail_Durgan@paytm,BOM,5816,gamming.bike@sbm,SMB,SBM5803968,1,17886884895,INB,KMB6360001,2,88006351786
TX,U2,b0c56e54154d2bcda86cfecd,640619743270,0,73024,135815,10561,,1,1,0,APP,0,Edgardo_Tremblay@okicici,BDN,5814,dinning.tacos@sbm,SMB,SBM1577762,1,56832918552,KMB,PNB6250618,2,27257479115
TX,U2,ce5a5b09869cc58bd4becace,688684192987,Z7,73024,145321,86077,,1,1,0,CBI,0,Fredrick_Gorczany78@axl,BOB,5814,dinning.sushi@sbm,SMB,SBM0425056,1,91770883215,INB,CBI8959939,2,83146160389
TX,U2,f3e75fcb449a6726ac9bbdef,80969345795,0,73024,10232,66025,,1,1,0,SIB,0,Bertram71@abfspay,FIB,4814,telecom.voip@sbm,SMB,SBM6328720,1,66579974718,SIB,FBL9646368,2,17366401431
TX,U2,aba4e7de37bf23c372bbc874,67171469448,Z7,73024,223319,55774,,1,1,0,FBL,0,Elfrieda_Pfannerstill56@okaxis,BOI,5814,dinning.tacos@sbm,SMB,SBM4824825,1,23956641883,IIB,BOI3963730,2,95524202087
TX,U2,6d76aeee6af8dcaf29a57bb3,388885612835,0,73024,80127,36952,,1,1,0,KVB,0,Kristin.Ryan99@rapl,UCO,,bookerr.npstltdindia@sbm,SMB,SBM3716694,1,13229067372,PNB,BOI1936157,2,39450604979
TX,U2,e8bf321bf230fcaaeb07052c,586481099050,0,73024,201152,10180,,1,1,0,BOB,0,Tressa26@axl,PNB,4814,telecom.satellite@sbm,SMB,SBM3301991,1,54686697091,YJU,BOB9945218,2,44047309218
TX,U2,1bebeefaee6f9cc4c8eb60e2,601010648684,0,73024,20941,40351,,1,1,0,GTI,0,Letitia29@rapl,ARL,5816,gamming.bike@sbm,SMB,SBM7959651,1,96917401367,BOB,GTI8237383,2,95150847280
TX,U2,b59c18eb44dd1abbdc9ab02f,892006152738,RB,73024,2657,74140,,1,1,0,YBS,0,Blake.Rogahn@yapl,FBL,5814,dinning.sushi@sbm,SMB,SBM5130881,1,11744364243,YES,BOM1497002,2,37094603188
TX,U2,d13171c1e0b3ccd6900e501c,994946712000,Z7,73024,101022,25834,,1,1,0,UOB,0,Fritz_Stanton@icici,FIB,4722,traveler.adventure@sbm,SMB,SBM2113386,1,68478277809,UCO,CBI8395494,2,75312443180
TX,U2,ca0ea3fc3fbdf3a3245e8177,724897560519,0,73024,181726,25027,,1,1,0,BDN,0,Tyrique.Glover31@icici,ARL,4814,telecom.cable@sbm,SMB,SBM9069148,1,77314800488,KVB,YJU3512579,2,63433095355
TX,U2,ced73ae8f3ea1f5bc2ad1b99,438768088342,RB,73024,44806,69408,,1,1,0,BDN,0,Erna_Lang@okaxis,PNB,5816,gamming.boat@sbm,SMB,SBM6381100,1,99033059565,KTP,UCO6044789,2,11329423935
TX,U2,262d9c7c4bb5815eaa6fefbc,642450978793,0,73024,150128,8987,,1,1,0,BOM,0,Tobin_Nader@oksbi,BOM,,bookerr.npstltdindia@sbm,SMB,SBM4609847,1,41867534203,BOB,PNB2093951,2,14174568374
TX,U2,ecc2c6bcaa2e9f6fcf1ddeb2,34864856941,RB,73024,150921,18917,,1,1,0,ICI,0,Mikel.Nitzsche85@okhdfcbank,YJU,5411,grocery.marketplace@sbm,SMB,SBM4902977,1,73072582098,FIB,KTP8948123,2,68960827369
TX,U2,cf562bd9c3fbad55fb2ddbb0,758515186250,0,73024,45321,43928,,1,1,0,ARL,0,Elmira.Durgan82@okaxis,BDN,5816,gamming.robot@sbm,SMB,SBM6992296,1,39972550089,UCO,IOB9039948,2,19919769646
TX,U2,9e5722fa32db553cda2d8a06,236237361012,Z7,73024,34704,76953,,1,1,0,INB,0,Felicia_Yost@okicici,YES,4722,traveler.vacation@sbm,SMB,SBM8313890,1,53646417272,BOI,YBS9613654,2,1885738939
TX,U2,cf17ff970fcddcbb10a2cd78,184814918881,Z7,73024,231510,99431,,1,1,0,AXB,0,Mackenzie_Spencer55@axisb,BDN,5814,dinning.vegetarian@sbm,SMB,SBM8561678,1,84475157581,INB,YJU4531353,2,39611384272
TX,U2,d7bf71647721b9dfcd9aadb0,679324989924,0,73024,231128,78665,,1,1,0,FIB,0,Maverick.Wolf8@okicici,APP,5411,grocery.freshmart@sbm,SMB,SBM1093137,1,32165665013,IDB,CBI2125033,2,98213386455
TX,U2,79c5a5f927cbd79bb95f2a29,869229243397,0,73024,25056,89073,,1,1,0,UOB,0,Hortense.Heaney51@okicici,KVB,5411,grocery.organic@sbm,SMB,SBM1026173,1,76692073389,FIB,KTP8755606,2,11131495434
TX,U2,dfa870b0f1c547cedf0180f0,631867910765,0,73024,161431,49246,,1,1,0,SBI,0,Darrin.Stamm93@idfcbank,IDB,5411,grocery.corner@sbm,SMB,SBM2831738,1,59214559863,PNB,KMB9511768,2,26572710810
TX,U2,81d6d7e5c828f273dbf0c7a0,377715885813,0,73024,144240,24509,,1,1,0,BOM,0,Marta.Schiller@ybl,PNB,4814,telecom.convergence@sbm,SMB,SBM4921062,1,22253821320,KTP,FBL7025525,2,90896257687
TX,U2,4ec6eda8f3ef9cad3ecf0531,865516069503,0,73024,125249,11184,,1,1,0,AXB,0,Terrill.Roob@axl,BOI,5814,dinning.sushi@sbm,SMB,SBM2123309,1,1806028802,UOB,CNB4353159,2,86934045665
TX,U2,e57c71b644fce80d44ebac3c,255472861295,Z7,73024,80438,66900,,1,1,0,BOB,0,Idell.Rosenbaum54@paytm,FBL,5411,grocery.freshmart@sbm,SMB,SBM7080532,1,68757093828,IDB,IOB7186119,2,28758285188
TX,U2,65313de819cc6d4ceeb42ffb,601758346756,0,73024,213142,20972,,1,1,0,BOB,0,Arden_Cronin87@axisb,KTP,5411,grocery.foodland@sbm,SMB,SBM2305451,1,99719856022,UCO,MBK9853506,2,41783929922
TX,U2,b7e8d8439eb39b27a3366f3c,406376610630,RB,73024,204648,2358,,1,1,0,YJU,0,Tremayne_Franecki@timecosmos,SBI,4722,traveler.vacation@sbm,SMB,SBM0375300,1,81766968849,FIB,PNB1467355,2,42686289375
TX,U2,c5bd47adcbfa6bbbb4cce02d,442980275542,Z7,73024,62947,43502,,1,1,0,KMB,0,Cierra_Huel44@fkaxis,ARL,5816,gamming.scooter@sbm,SMB,SBM3408987,1,17402237224,MBK,BOM9025052,2,39193770216
TX,U2,0eda1c204b4410dfd7cfb4d0,937415361881,0,73024,191238,95018,,1,1,0,IIB,0,Winston_Wolf-Bauch29@rapl,IDC,5814,dinning.steak@sbm,SMB,SBM0196037,1,56610964334,IOB,HDF3082462,2,72767261542
TX,U2,dd58154f6be669f9d2d8ca2e,235762217190,RB,73024,191414,66012,,1,1,0,BOM,0,Willie41@icici,IOB,5814,dinning.pasta@sbm,SMB,SBM5189748,1,59115031012,FBL,KTP4018014,2,79560256991
TX,U2,d78cdb14738a7ea570af6d2c,328057647175,Z9,73024,114625,61523,,1,1,0,KMB,0,Efrain58@ybl,BOM,5814,dinning.pasta@sbm,SMB,SBM2586674,1,66792612373,YES,BDN7187714,2,934854055
TX,U2,da34017f82dedd4ce2eba6f7,38453049170,0,73024,200238,72031,,1,1,0,KMB,0,Sofia_Marks28@ybl,APP,5816,gamming.robot@sbm,SMB,SBM8077045,1,12638461934,BOB,KMB9545523,2,68735645273
TX,U2,8aace5b3e6dcfdb66d27aab4,413676208119,0,73024,31653,65797,,1,1,0,HDF,0,Beryl.Wyman29@okaxis,INB,4722,traveler.adventure@sbm,SMB,SBM0545609,1,70201660982,FBL,BOI4883121,2,86629236260
TX,U2,7cafd5fe55eaa9ef2fc26234,971447013802,Z9,73024,104729,16247,,1,1,0,IOB,0,Tia51@okaxis,UOB,4722,traveler.destinations@sbm,SMB,SBM8233769,1,9346973376,YES,MBK5273213,2,83769916153
TX,U2,3c5e171f8bcd1a16d7b4b398,552730392845,0,73024,113102,98238,,1,1,0,IPB,0,Kyra_Kub@ybl,YJU,5411,grocery.organic@sbm,SMB,SBM6186257,1,48356321989,CBI,IPB8660857,2,77431908337
TX,U2,edb023bdb23dab76ed3f0834,185495027931,0,73024,170232,61701,,1,1,0,BOM,0,Thora.Hilpert22@yesg,IDC,5814,dinning.steak@sbm,SMB,SBM6607350,1,35596484473,APP,PNB9593186,2,53456297955
TX,U2,f4895890fb0917ec6fecfb45,246340849753,Z9,73024,43358,8728,,1,1,0,UOB,0,Brook96@oksbi,IOB,4722,traveler.vacation@sbm,SMB,SBM5640501,1,55278287985,IDC,IDB6595897,2,42162340472
TX,U2,e37b03eb2fc24b03aec0fc7b,26365825095,0,73024,182124,1640,,1,1,0,SBI,0,Lorenza.Kutch@abfspay,IDC,5816,gamming.submarine@sbm,SMB,SBM5063163,1,3480576097,IDB,IDB1791131,2,16955411632
TX,U2,fb6a2ef2854b134fb9949a45,52956936577,0,73024,214412,1798,,1,1,0,BDN,0,Robb.Daniel4@idfcbank,BOI,5816,gamming.robot@sbm,SMB,SBM0886186,1,37954050797,FIB,APP6583048,2,25028736364
TX,U2,81ad76ab86c176ada1d34a3a,477248452101,0,73024,90030,30300,,1,1,0,YOM,0,Carolyne51@yapl,SIB,4814,telecom.voip@sbm,SMB,SBM8429802,1,68639661652,IDB,SBI6821188,2,34953003820
TX,U2,7e1101c1ceadf0adc737c4f4,515196561775,RB,73024,203521,49896,,1,1,0,PNB,0,Mason86@okaxis,APP,5814,dinning.tacos@sbm,SMB,SBM9052531,1,20464562825,YJU,CNB1261028,2,86867135260
TX,U2,f8b16ffc6e441a9b57aed3e7,316630598622,0,73024,154523,58577,,1,1,0,BOB,0,Hunter59@yesg,HDF,4814,telecom.mobile@sbm,SMB,SBM4741106,1,73538947985,SIB,KTP6592007,2,95801146984
TX,U2,cfbc6650aeaab88ee3cea43c,633555331746,0,73024,193222,84965,,1,1,0,KMB,0,Tamia40@timecosmos,IPB,,bookerr.npstltdindia@sbm,SMB,SBM7874760,1,79764693880,BOM,MBK5277901,2,31926843709
TX,U2,5eeff3ec769987b05fd94fef,561115296897,0,73024,54606,8384,,1,1,0,PNB,0,Bradley.Jones46@yesg,KVB,5814,dinning.salad@sbm,SMB,SBM7383199,1,98892888221,IOB,FBL0912157,2,32036299877
TX,U2,a34dce0b119231de46eef3f5,916603150847,Z9,73024,194442,56208,,1,1,0,BOB,0,Alexanne_Torp34@okaxis,UCO,5814,dinning.steak@sbm,SMB,SBM6219196,1,10350004830,BDN,KVB9387662,2,12615201761
TX,U2,606a37e4e5deab6e78d56af2,816849993708,0,73024,232326,39435,,1,1,0,YBS,0,Baron_Douglas54@abfspay,ICI,5816,gamming.boat@sbm,SMB,SBM7101222,1,75675860243,UOB,BOB1657585,2,90329345151
TX,U2,3df7ae279a18db4c4ae6f75f,730747891554,Z9,73024,12735,45237,,1,1,0,CBI,0,Karelle59@apl,SIB,5411,grocery.marketplace@sbm,SMB,SBM5446667,1,19105930504,YBS,MBK7937925,2,47695553205
TX,U2,bbb0b8ce8de37c2fc3efd54e,814680825452,0,73024,161915,46795,,1,1,0,FIB,0,Sammie_Crooks57@axisb,BOB,,bookerr.npstltdindia@sbm,SMB,SBM9362267,1,47281421827,GTI,PNB7881291,2,88328511209
TX,U2,d8ed1febd4dbda9cd5430085,847982876721,Z7,73024,110918,91769,,1,1,0,HDF,0,Zetta_Mayer@yesg,KTP,5814,dinning.pasta@sbm,SMB,SBM2198679,1,73002648616,IDB,BDN0143097,2,92470487044
TX,U2,295eefe3d2bc4eb65c7b17d2,598751695983,Z7,73024,50910,94751,,1,1,0,YOM,0,Margaret_Abshire14@rapl,BOM,4814,telecom.broadband@sbm,SMB,SBM8123298,1,18732115231,BOM,UOB8887986,2,93669808593
TX,U2,a30eaabcbed8ccecca27a44c,637469020756,0,73024,181244,69328,,1,1,0,KVB,0,Ivory_Davis@paytm,IIB,5411,grocery.organic@sbm,SMB,SBM0097306,1,69341007073,SBI,YJU0695224,2,64555932621
TX,U2,46cfdd7827f885a2eb9285d3,195087726450,Z9,73024,5729,46789,,1,1,0,YOM,0,Shirley.Schmeler46@okicici,GTI,5816,gamming.helmet@sbm,SMB,SBM6349936,1,79572773966,UCO,AXB7301639,2,88704330091
TX,U2,5ee9dbffc098cc6afd0f7ba7,333302625295,Z9,73024,60745,85186,,1,1,0,KTP,0,Carolanne94@axisb,YES,5814,dinning.pizza@sbm,SMB,SBM5380235,1,10864812941,YES,IOB6492763,2,30816024263
TX,U2,42bf9bdcbfdbd6cd4dd7c60b,669995969202,RB,73024,50639,33346,,1,1,0,HDF,0,Jaunita.Hammes@paytm,YJU,4722,traveler.adventure@sbm,SMB,SBM3835066,1,10050133109,UCO,AXB1393865,2,73588989871
TX,U2,49ecdd9ca56cea2d855aaea1,47767173130,0,73024,14127,67545,,1,1,0,IPB,0,Grover42@timecosmos,KMB,5814,dinning.steak@sbm,SMB,SBM7736752,1,57710050676,IIB,CNB8385677,2,82620449439
TX,U2,845b8cb8267aadcedadceecd,501047995024,0,73024,185637,73617,,1,1,0,INB,0,Jade_Leuschke@apl,KVB,,bookerr.npstltdindia@sbm,SMB,SBM7309997,1,72253257713,APP,PNB1680913,2,42698538052
TX,U2,fe1bd27aef9faf1cbc4a8dea,503206302431,Z7,73024,72004,55003,,1,1,0,BDN,0,Gertrude12@okicici,HDF,5411,grocery.organic@sbm,SMB,SBM6893459,1,36196101010,BOM,AXB5697516,2,78114270274
TX,U2,aca6a52391f6ef751ed1fcbe,654735154763,Z9,73024,171637,77591,,1,1,0,SIB,0,Morton23@fkaxis,UOB,,bookerr.npstltdindia@sbm,SMB,SBM2826612,1,29900861758,BOB,ICI8384809,2,56073538685
TX,U2,e52a06e302caeea9fdf99713,892009253228,Z7,73024,13459,7969,,1,1,0,KMB,0,Noelia87@axisb,KTP,,bookerr.npstltdindia@sbm,SMB,SBM8426507,1,51526198642,HDF,IDB8909204,2,23676667255
TX,U2,be589efab4d50cbc96abefb2,132779854608,0,73024,102029,83275,,1,1,0,FBL,0,Zane_Bradtke95@yesg,SBI,5814,dinning.salad@sbm,SMB,SBM8981239,1,84050310895,UOB,ARL8557747,2,89965224434
TX,U2,1e8a6f4a58aba9bdb940e42b,505458038653,0,73024,11638,26305,,1,1,0,BOM,0,Lawrence.Koelpin@icici,IDC,5816,gamming.robot@sbm,SMB,SBM7203052,1,48627754841,IDC,BOB3114471,2,52894517890
TX,U2,fa9da0db2adfdd60f6ba0171,980585595690,0,73024,123641,11094,,1,1,0,YOM,0,Alex_Brown7@timecosmos,CNB,5411,grocery.dailygrocer@sbm,SMB,SBM6723100,1,2175029624,CNB,UOB6451633,2,49244893835
TX,U2,e69d73f19f6be397094cf924,335427206331,Z7,73024,221137,60921,,1,1,0,KTP,0,Rebeca.Beier@rapl,IDB,4722,traveler.explore@sbm,SMB,SBM8937867,1,1868762191,KVB,CNB8197699,2,62915826468
TX,U2,decc1dbd790df8fcf0b4ff6c,911166402677,Z9,73024,20206,82704,,1,1,0,IDC,0,Armando_Huel@rapl,BOM,5816,gamming.boat@sbm,SMB,SBM5109097,1,61664320247,BOM,INB5279492,2,37380703344
TX,U2,f8f7dbd0e1cac4d2ed534c20,444387698433,0,73024,200557,58196,,1,1,0,CBI,0,Amanda.Reynolds99@okhdfcbank,GTI,4814,telecom.fiber@sbm,SMB,SBM8630104,1,85732462376,SIB,BOB9890939,2,78570418444
TX,U2,fcda239043c84ad4b9a1f0be,890403284846,RB,73024,113219,11512,,1,1,0,FBL,0,Brandy_Ruecker@icici,CBI,,bookerr.npstltdindia@sbm,SMB,SBM5340013,1,17092255015,IDB,KTP6762713,2,30721374260
TX,U2,8266490dca081e9a437de36b,969726458923,Z9,73024,22224,54070,,1,1,0,IDC,0,Jaron_Kovacek@ybl,PNB,5814,dinning.salad@sbm,SMB,SBM2492735,1,98381944729,IDC,AXB0052234,2,21108092652
TX,U2,e1eb98eb4d8cfc7bbffdc08b,197075137231,RB,73024,181859,46928,,1,1,0,PNB,0,Brooke_Toy21@okicici,CBI,5411,grocery.corner@sbm,SMB,SBM9914909,1,91962602504,KMB,YES5404425,2,33097207783
TX,U2,1c4d748e46b4e869d12d7d95,249920071821,Z7,73024,4031,28975,,1,1,0,APP,0,Hector.Davis@fkaxis,CNB,4814,telecom.wireless@sbm,SMB,SBM8283631,1,18701562316,IIB,YBS1617993,2,61443714692
TX,U2,e600adc2abdf5b1a68974a1a,788978247556,0,73024,133832,84933,,1,1,0,GTI,0,Madyson68@oksbi,YES,5816,gamming.car@sbm,SMB,SBM7433538,1,99985882327,BOM,YOM1753998,2,29543602576
TX,U2,b160b9bf022cc3aaed7daa4f,253952125821,0,73024,154652,17995,,1,1,0,BDN,0,Cale.Hyatt@axl,KTP,,bookerr.npstltdindia@sbm,SMB,SBM2074538,1,68541992203,IIB,YES0134588,2,46717484714
TX,U2,5e9a7a97cc3aed3a5eb8e223,973936779603,0,73024,162933,45164,,1,1,0,CBI,0,Lorena21@paytm,BOB,5816,gamming.scooter@sbm,SMB,SBM4306694,1,49458011872,BOB,KMB8565449,2,23608422816
TX,U2,7b0d87ddae7c7aeccd6dffa9,343173324063,Z7,73024,134350,40200,,1,1,0,YES,0,Frida.DuBuque@fkaxis,KTP,5411,grocery.sbmrite@sbm,SMB,SBM7274362,1,67724509363,FIB,BDN0390225,2,67429826171
TX,U2,fdda8b36ceeb390d76273ca1,891980356902,Z7,73024,43034,75115,,1,1,0,YJU,0,Alexie40@icici,IDC,5411,grocery.organic@sbm,SMB,SBM7949600,1,63537443823,YJU,BOB1382428,2,50590274782
TX,U2,0ee13bfc7ed81bb95b12d5eb,607685278525,0,73024,21256,92461,,1,1,0,BDN,0,Jessyca56@axisb,YJU,5816,gamming.robot@sbm,SMB,SBM5506569,1,82374773372,FBL,APP7459895,2,82578551567
TX,U2,e5e776de07fa4bb6d56efbb6,219939627659,0,73024,70508,56245,,1,1,0,IOB,0,General35@okaxis,ICI,,bookerr.npstltdindia@sbm,SMB,SBM3864818,1,78779035948,YOM,YOM0451178,2,55359362989
TX,U2,e79acdfed34b10f4a81af0ab,620453076216,0,73024,63210,37656,,1,1,0,YOM,0,Theodore_Zieme@fkaxis,SBI,5816,gamming.airplane@sbm,SMB,SBM7955507,1,99615270550,BDN,IPB8183346,2,30445259064
TX,U2,fd9cf1ada2af3fdf41eb4eeb,354202441555,Z7,73024,172359,30246,,1,1,0,SBI,0,Hardy_Larkin@ybl,IDB,,bookerr.npstltdindia@sbm,SMB,SBM5823149,1,11344240691,KTP,BOI7960665,2,70017720412
TX,U2,a07ad9f74c9adadacbee320f,427809961257,Z9,73024,71911,58795,,1,1,0,IIB,0,Ibrahim.Miller@idfcbank,BOB,5816,gamming.boat@sbm,SMB,SBM9738984,1,22159769947,IPB,HDF3152545,2,48643462396
TX,U2,6a2acab776ced4bdca333b2d,772007463507,Z7,73024,231911,76964,,1,1,0,BOB,0,Anibal63@axisb,SIB,4722,traveler.adventure@sbm,SMB,SBM3123769,1,91281474350,SBI,CNB0435733,2,53181000950
TX,U2,dadd2f53b7bebae98498a1eb,619926894724,Z7,73024,132440,28306,,1,1,0,IOB,0,Derick.Osinski33@okicici,BDN,5814,dinning.pasta@sbm,SMB,SBM7595089,1,37859696652,CNB,BOM3472222,2,45613318906
TX,U2,caab29a18c57912ed6bfc1d8,356279184214,0,73024,232457,69705,,1,1,0,BDN,0,Brett_Von40@okicici,IDB,5816,gamming.drone@sbm,SMB,SBM7290450,1,5509333622,AXB,IOB8300550,2,42184498270
